userID,itemID,hours_transformed
u87534292,g57834425,2.7441610955704103
u00914251,g61913894,4.177917792195843
u44824365,g16586637,3.4462562298895643
u69168994,g51450658,4.0
u74934282,g45232069,8.448322832507502
u02906788,g36958384,5.197708157955851
u35844632,g92018877,1.1375035237499351
u08586826,g36769937,7.884475819086485
u92465525,g01549519,3.689299160535892
u50690284,g05349653,2.070389327891398
u34690083,g08001721,2.608809242675524
u79438356,g04477361,3.263034405833794
u84107660,g11225866,2.867896463992655
u24256911,g67274965,4.087462841250339
u23937279,g31190276,0.5849625007211562
u15844193,g55567630,2.232660756790275
u66008466,g12667678,3.169925001442312
u79801558,g27370047,5.478971805032942
u42207476,g26437139,4.765534746362977
u81077786,g91799982,0.765534746362977
u08258862,g59317800,6.608809242675524
u77378317,g87166472,0.13750352374993502
u51062008,g19425343,6.219168520462161
u79025668,g05031080,3.5360529002402097
u89703849,g73173393,2.405992359675837
u55093422,g54979645,3.2479275134435857
u29576207,g57869201,3.0
u05088496,g00125299,3.2016338611696504
u89482132,g59638098,2.137503523749935
u39599062,g75228197,8.59618975614441
u83720525,g31948580,3.0
u68722473,g75513928,5.602884408718419
u52693207,g99934462,3.169925001442312
u69957279,g51770536,7.185866545311334
u76695873,g49636917,4.817623257511431
u22769746,g22927590,0.6780719051126377
u73312807,g17074600,1.9634741239748859
u44594988,g91909847,2.700439718141092
u96980242,g83146398,3.1538053360790355
u25042283,g08346452,0.37851162325372983
u85288110,g54619657,2.4854268271702415
u69394986,g59682009,2.321928094887362
u66399737,g73594265,2.035623909730721
u08942444,g84770347,3.292781749227846
u26800137,g68547272,0.84799690655495
u29718959,g76960634,6.912889336229962
u62402243,g28846994,1.070389327891398
u46285135,g78336897,3.9726926540042644
u90784003,g90898833,3.9068905956085187
u84685369,g22161219,6.529820946528695
u11194965,g58464197,2.350497247084133
u61089862,g72460998,2.4329594072761065
u33951621,g77806076,7.525129251203973
u23335732,g03167855,7.235535606710462
u99613619,g10946181,6.536052900240209
u98484614,g66296428,5.20945336562895
u21261196,g31800990,5.24031432933371
u35298149,g61225634,4.2630344058337934
u56399548,g35296108,1.722466024471091
u59370809,g31712310,4.145677455195635
u55775774,g05914065,6.826548487290915
u26651259,g36222633,2.292781749227846
u23210251,g85900991,8.346513733165635
u17224257,g85094839,1.0
u49076616,g48657523,3.9354597478052895
u53420470,g04830062,3.817623257511431
u16116202,g61958781,0.765534746362977
u58246803,g79499736,6.78135971352466
u50987399,g82616432,1.070389327891398
u67143531,g14525638,3.3074285251922473
u93655272,g76120150,2.84799690655495
u25438529,g47205010,5.951867504326902
u97999106,g61264440,5.867896463992655
u98443157,g61214579,3.364572432295856
u54507745,g41331921,1.070389327891398
u51175241,g90154665,4.590961241342599
u35666144,g94005519,4.523561956057013
u52585979,g38434648,1.070389327891398
u15827297,g69033010,0.48542682717024166
u80016522,g41348232,2.6322682154995127
u61755488,g59271404,4.217230716220669
u65526955,g35972218,1.584962500721156
u79311898,g39055346,5.145677455195635
u53316375,g48657523,3.990954860396993
u61948708,g48512616,4.314696525656286
u76337229,g24822320,2.560714954474479
u42896872,g93472243,2.292781749227846
u85921592,g50163420,5.20163386116965
